Pos,ID,Name,BV,SV,Team,10_xMins,11_xMins,12_xMins,13_xMins,14_xMins,15_xMins,16_xMins,17_xMins,18_xMins,19_xMins,10_Pts,11_Pts,12_Pts,13_Pts,14_Pts,15_Pts,16_Pts,17_Pts,18_Pts,19_Pts
D,224,Cucurella,6.1,6.1,Chelsea,82.20,82.20,82.20,82.20,82.20,82.20,82.20,82.20,82.20,82.20,3.25,4.60,3.94,2.85,3.38,3.07,3.82,2.73,3.55,3.46
D,225,James,5.5,5.5,Chelsea,76.65,76.65,73.20,73.20,76.05,76.05,76.05,76.05,76.05,76.05,3.02,4.25,3.53,2.41,3.22,2.90,3.62,2.59,3.37,3.29
D,226,Chalobah,5.1,5.1,Chelsea,80.70,80.70,80.70,80.70,80.70,80.70,80.70,80.70,80.70,80.70,3.36,5.10,3.98,3.00,3.73,3.33,3.94,3.38,3.75,3.45
D,227,Colwill,4.8,4.8,Chelsea,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,228,Gusto,4.9,4.9,Chelsea,62.25,62.25,58.95,58.95,52.65,52.65,52.65,52.65,52.65,52.65,2.34,3.13,2.68,1.88,2.08,1.89,2.30,1.72,2.18,2.10
D,229,B.Badiashile,4.4,4.4,Chelsea,0.00,0.00,0.00,0.00,9.45,9.45,9.45,9.45,9.45,9.45,0.00,0.00,0.00,0.00,0.37,0.35,0.39,0.36,0.38,0.37
D,230,Fofana,4.4,4.4,Chelsea,39.90,39.90,39.90,39.90,19.95,19.95,19.95,19.95,19.95,19.95,1.44,2.08,1.73,1.30,0.77,0.72,0.84,0.72,0.80,0.76
D,232,Tosin,4.3,4.3,Chelsea,48.15,48.15,48.15,48.15,48.15,48.15,48.15,48.15,48.15,48.15,2.02,2.92,2.34,1.85,2.19,1.98,2.33,2.05,2.23,1.98
D,233,Acheampong,3.9,3.9,Chelsea,61.05,61.05,61.05,61.05,29.25,29.25,29.25,29.25,29.25,29.25,2.48,3.19,2.80,2.15,1.26,1.16,1.35,1.13,1.26,1.22
M,235,Palmer,10.3,10.3,Chelsea,0.00,0.00,10.80,10.80,77.55,77.55,77.55,77.55,77.55,77.55,0.00,0.00,0.81,0.62,4.90,4.71,5.29,4.41,5.44,5.47
M,236,Neto,7.0,7.0,Chelsea,76.05,76.05,76.05,76.05,76.05,76.05,76.05,76.05,76.05,76.05,3.50,4.24,3.84,3.07,3.38,3.30,3.62,3.11,3.66,3.69
M,237,Enzo,6.7,6.7,Chelsea,84.90,84.90,84.90,84.90,84.90,84.90,84.90,84.90,84.90,84.90,4.32,5.31,4.73,3.79,3.98,3.83,4.19,3.72,4.19,4.17
M,238,Estêvão,6.5,6.5,Chelsea,34.20,40.80,43.95,43.95,27.60,27.60,27.60,27.60,27.60,27.60,1.66,2.33,2.28,1.99,1.32,1.27,1.37,1.27,1.39,1.40
M,239,Gittens,6.1,6.1,Chelsea,16.80,16.80,16.80,16.80,13.05,13.05,13.05,13.05,13.05,13.05,0.81,0.97,0.90,0.74,0.63,0.62,0.67,0.57,0.67,0.67
M,241,Caicedo,5.9,5.9,Chelsea,84.90,84.90,84.90,84.90,84.90,84.90,84.90,84.90,84.90,84.90,3.31,4.03,3.68,3.42,3.62,3.41,3.95,3.54,3.69,3.57
M,242,Dewsbury-Hall,4.9,4.9,Everton,81.90,81.90,81.90,81.90,81.90,81.90,81.90,81.90,81.90,81.90,3.59,3.71,3.34,3.40,3.28,3.79,3.16,2.94,3.59,3.43
M,243,George,4.9,4.9,Chelsea,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,0.27,0.31,0.29,0.24,0.26,0.25,0.27,0.24,0.28,0.28
M,244,Lavia,4.9,4.9,Chelsea,9.30,9.30,9.30,9.30,9.30,9.30,9.30,9.30,9.30,9.30,0.33,0.35,0.34,0.32,0.32,0.32,0.33,0.32,0.33,0.33
M,245,Mudryk,5.0,5.0,Chelsea,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,246,Andrey Santos,4.5,4.5,Chelsea,24.60,28.05,24.60,24.60,17.70,17.70,17.70,17.70,17.70,17.70,1.04,1.42,1.12,1.01,0.76,0.73,0.80,0.73,0.78,0.78
M,247,D.Essugo,4.3,4.3,Chelsea,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F,249,João Pedro,7.4,7.4,Chelsea,80.70,77.85,77.85,77.85,75.00,75.00,75.00,75.00,75.00,75.00,4.14,4.97,4.52,3.62,3.73,3.67,3.93,3.39,4.06,4.01
F,250,Delap,6.2,6.2,Chelsea,0.00,25.80,25.80,25.80,25.80,25.80,25.80,25.80,25.80,25.80,0.00,1.67,1.53,1.25,1.33,1.33,1.47,1.24,1.46,1.48
F,252,Marc Guiu,4.2,4.2,Chelsea,41.70,14.85,14.85,14.85,14.85,14.85,14.85,14.85,14.85,14.85,2.16,0.95,0.89,0.74,0.79,0.79,0.83,0.73,0.86,0.85
