Pos,ID,Name,BV,SV,Team,1_xMins,2_xMins,3_xMins,4_xMins,5_xMins,6_xMins,7_xMins,8_xMins,9_xMins,10_xMins,11_xMins,12_xMins,1_Pts,2_Pts,3_Pts,4_Pts,5_Pts,6_Pts,7_Pts,8_Pts,9_Pts,10_Pts,11_Pts,12_Pts
D,228,Gusto,5.0,5.0,Chelsea,34.50,34.50,34.50,34.50,34.50,34.50,34.50,34.50,34.50,34.50,34.50,34.50,1.47,1.34,1.44,1.31,1.24,1.40,1.17,1.29,1.66,1.25,1.49,1.50
D,229,B.Badiashile,4.5,4.5,Chelsea,25.65,21.60,21.60,21.60,21.60,21.60,21.60,21.60,21.60,21.60,21.60,21.60,1.22,0.93,1.03,0.92,0.87,0.97,0.85,0.91,1.14,0.87,1.04,1.05
D,230,Fofana,4.5,4.5,Chelsea,25.05,21.00,21.00,21.00,21.00,21.00,21.00,21.00,21.00,21.00,21.00,21.00,1.15,0.87,0.97,0.84,0.81,0.91,0.78,0.85,1.07,0.81,0.98,1.00
D,231,M.Sarr,4.5,4.5,Chelsea,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,232,Tosin,4.5,4.5,Chelsea,61.50,57.60,57.60,57.60,57.60,57.60,57.60,57.60,57.60,57.60,57.60,57.60,3.09,2.61,2.88,2.51,2.35,2.69,2.25,2.50,3.29,2.31,2.95,2.99
D,233,Acheampong,4.0,4.0,Chelsea,17.70,13.80,13.80,13.80,13.80,13.80,13.80,13.80,13.80,13.80,13.80,13.80,0.85,0.60,0.64,0.57,0.54,0.61,0.51,0.58,0.74,0.54,0.67,0.68
D,234,Anselmino,4.0,4.0,Chelsea,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
M,235,Palmer,10.5,10.5,Chelsea,84.60,84.60,84.60,84.60,84.60,84.60,84.60,84.60,84.60,84.60,84.60,84.60,6.89,6.44,6.76,6.48,5.87,6.74,5.58,5.79,8.39,6.05,7.03,7.04
M,236,Neto,7.0,7.0,Chelsea,81.00,81.00,81.00,81.00,81.00,81.00,81.00,81.00,81.00,81.00,81.00,81.00,4.35,4.05,4.26,4.13,3.76,4.24,3.64,3.81,5.20,3.91,4.44,4.50
M,237,Enzo,6.5,6.5,Chelsea,83.85,83.85,83.85,83.85,83.85,83.85,83.85,83.85,83.85,83.85,83.85,83.85,4.30,4.00,4.13,4.08,3.74,4.11,3.66,3.73,4.94,4.03,4.25,4.35
M,238,Estêvão,6.5,6.5,Chelsea,13.20,13.20,13.20,13.20,13.20,13.20,13.20,13.20,13.20,13.20,13.20,13.20,0.78,0.73,0.75,0.74,0.69,0.76,0.67,0.69,0.91,0.70,0.78,0.79
M,239,Gittens,6.5,6.5,Chelsea,52.50,52.50,52.50,52.50,52.50,52.50,52.50,52.50,52.50,52.50,52.50,52.50,3.02,2.85,2.96,2.86,2.63,2.89,2.57,2.66,3.58,2.73,3.08,3.11
M,240,Nkunku,6.0,6.0,Chelsea,19.35,19.35,19.35,19.35,19.35,19.35,19.35,19.35,19.35,19.35,19.35,19.35,1.34,1.23,1.28,1.26,1.15,1.27,1.11,1.15,1.55,1.19,1.33,1.33
M,241,Caicedo,5.5,5.5,Chelsea,84.30,84.30,84.30,84.30,84.30,84.30,84.30,84.30,84.30,84.30,84.30,84.30,3.60,3.47,3.48,3.43,3.40,3.46,3.26,3.16,3.83,3.59,3.57,3.51
M,242,Dewsbury-Hall,5.0,5.0,Everton,78.15,78.15,78.15,78.15,78.15,78.15,78.15,78.15,78.15,78.15,78.15,78.15,3.58,3.60,3.53,3.59,3.05,3.91,3.71,2.96,3.91,3.98,3.67,3.41
M,243,George,5.0,5.0,Chelsea,5.10,5.10,5.10,5.10,5.10,5.10,5.10,5.10,5.10,5.10,5.10,5.10,0.28,0.26,0.27,0.26,0.24,0.27,0.24,0.24,0.33,0.25,0.28,0.28
M,244,Lavia,5.0,5.0,Chelsea,9.60,9.60,9.60,9.60,9.60,9.60,9.60,9.60,9.60,9.60,9.60,9.60,0.37,0.35,0.36,0.36,0.35,0.36,0.34,0.34,0.38,0.36,0.37,0.36
